Medicine Name,Abdomen,Abdomen and Stool,Alimentary Canal,Antidotes,Aur mur kali,Back,Back and Extremities,Back and extremities,Bones,Bowels,Calc mur,Cardio-Vascular,Caution,Chest,Circulatory Organs,Compare: Aqua calcar,"Compare: Black Gunpowder 3x (Abscesses, boils, carbuncles, limb purple. Wounds that refuse to heal; accident from bad food or water","Compare: Calcar hypophosphorosa (is to be preferred when it seems necessary to furnish the organism with liberal doses of phosphorus in consequence of continued abscesses having reduced the vitality. Give first and second decimal trits. Loss of appetite, rapid debility, night sweats; Acne pustulosa",Compare: Electricitas,"Compare: Iris florentina-Orris-root--(delirium, convulsions, and paralysis); Iris factissima (headache and hernia); Iris germanica-Blue Garden Iris--(dropsy and freckles); Iris tenax-I. minor--(dry mouth; deathly sensation at point of stomach, pain in ileo-caecal region; appendicitis. Pain from adhesions after). Pancreatinum-a combination of several enzymes--(Indicated in intestinal indigestion; pain an hour or more after eating. Lienteric diarrhoea. Dose",Compare: Pimpinello--(Bibernell),"Compare: Sanguisorba (Venous congestion and passive haemorrhages; varices of lower extremities; dysentery. Long lasting profuse menses with congestion to head and limbs in sensitive, irritable patients. Climacteric haemorrhages. Use 2x attenuation). Sanguisuga","Daffodil bulbs contain an alkaloid the action of which, according to authorities, varies as to whether the alkaloid is extracted from the flowering bulb or from the bulb after flowering. Thus in the former case the alkaloid produces dryness of the mouth, checks cutaneous secretions, dilates the pupil of the eye, quickens the pulse, and slows and weakens the heart contractions. On the other hand, the alkaloid from the bulbs after flowering produces copious salivation, increases cutaneous secretion, contracts the pupil of the eye, produces slight relaxation of the pulse, and slight faintness and nausea",Doses,Ear,Ears,Extremities,Eye,Eyes,Eyes and Ears,Face,Female,Fever,Gastric,Gastro-Intestinal,Gastro-enteric Symptoms,Gastro-intestinal,General Symptoms,Genito-urinary,Head,Head and Stomach,Heart,Hyosc hydrobrom,Kidney,Liver,Magnetis Poli Ambo,Magnetis Polus Arcticus,Magnetis Polus Australis,Male,Mental,Mind,Mind and Head,Modalities,Modality,Mouth,Neck,Neck and Back,Nerves,Nervous,Nervous System,Non-Homeopathic Preparations and Uses,Non-Homeopathic Uses,Non-homeopathic Uses,Nose,Nose and throat,"On inhaling this drug, it rapidly dilates all arterioles an capillaries, producing flushings of face, heat, and throbbing in the head",Opium (crude),Physiologic Dosage,Potassium Permanganate for Morphine Poisoning,Rectum,Rectum and Stool,Respiration,Respiratory,Respiratory Organs,Sexual,Skin,Sleep,Spleen,Stomach,Stomach and Abdomen,Stool,Stool and Anus,Stools,"The remedy for hperchlorhydria. In cases where albuminoid digestion is too rapid and starch digestion is perverted. The gastric symptoms with the most pronounced acidity are well authenticated, and are the guiding symptoms. The acidity of Robinia is accompanied by frontal headache. Intensely acrid eructations. Acrid and greenish vomiting, colic and flatulence, nightly burning pains in stomach and constipation with urgent desire",Throat,Tissues,Tongue,Urinary,Urinary Organs,Urine,Uses,Vitex trifolia
BOTULINUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTHROPS LANCEOLATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amaurosis; blindness from haemorrhage into retina. Hemoralopia, day blindness, can hardly see her way after sunrise; conjunctivial haemorrhage.",,Swollen and puffy. Besotted expression.,,,,,,,,,,,,,,,,,,,,,,"Worse, right side.",,,,,,,,,,,,,,,,,,,,,,,"Swollen, livid, cold with haemorrhagic infiltration. Gangrene. Lymphatics swollen. Anthrax. Malignant erysipelas.",,,Epigastric distress. Black vomiting. Intense haematemesis. Tympanitis and bloody stools.,,,,,,"Red, dry, constricted; swallowing difficult, cannot pass liquids.",,,,,,,
BOLETUS LARICIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilliness along spine, with frequent, hot flashes. Yawns and stretches when chilly. Severe aching in shoulders and joints and small of back. Profuse perspiration at night, with hectic chills and fever.",,,,,,,"Feels light and hollow with deep frontal headache. Thick, yellow coating of tongue; teeth indented. Constant nausea.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot and dry, especially in palms. Itching more between scapulae and on forearms.",,,,,,,,,,,,,,,,
BORAX VENETA,,,,,,,,,,,,,,,,,,,,,,,,,,Very sensitive to slightest noise; not so much disturbed by louder ones.,Feeling as of cobwebs on hands. Itching on back of finger-joints and hands. Throbbing pain in tip of thumb. Stitches in sole. Pain in heel. Burning pain in great toe; inflammation of balls of toes. Eczema of toes and fingers with loss of nails.,,"Lashes turn inward. Visions of bright waves. Eyelids inflamed, lids cut against eyeball. Entropium.",,"Pale, earthy, with suffering expression. Swollen, with pimples on nose and lips. Feeling of cobwebs.","Labor pains with frequent eructations. Galactorrhoea (Cal; Con; Bell). In nursing, pain in opposite breast. Leucorrhoea like white of eggs, with sensation as if warm water was flowing. Menses too soon, profuse, with griping, nausea and pain in stomach extending into small of back. Membranous dysmenorrhoea. Sterility. Favors easy conception. Sensation of distention in clitoris with sticking. Pruritus of vulva and eczema.",,,,,,,,"Aches, with nausea and trembling of whole body. Hair tangled at tips, cannot be separated, as in Plica Polonica (Vinca min).",,,,,,,,,,,"Extreme anxiety, especially from motions which have a downward direction, rocking, being carried downstairs, laid down. Anxious expression of face during the downward motions, starts and throws up hands on laying patient down, as if afraid of falling. Excessively nervous; easily frightened. Sensitive to sudden noises. Violent fright from report of a gun, even at a distance. Fear of thunder.",,"Worse, downward motion, noise, smoking, warm weather, after menses. Better, pressure, evening, cold weather.",,"Aphthae. White fungous like growth. Mouth hot and tender; ulcers bleed on touch and eating. Painful gumboil. Crying when nursing. Taste bitter (Bry; Puls; Cup). Taste of ""cellar mould"".",,,,,,,,,"Red nose, of young women (Nat carb). Red and shining swelling, with throbbing and tensive sensation. Tip swollen and ulcerated. Dry crusts.",,,,,,,,,"Hacking and violent cough; expectoration, moldy taste and smell. Stitches in chest, with inspiration and cough. Cough with moldy taste-breath smells moldy. Pleurodynia; worse upper part of right chest. Arrest of breathing when lying; is obliged to jump and catch breath, which causes pain in right side. Out of breath on going up stairs.",,,"Psoriasis. Erysipelas in face. Itching on back of finger-joints. Unhealthy skin; slight injuries suppurate. Herpes (Rhus). Erysipelatous inflammation with swelling and tension. Chilblains relieved in open air. Trade eruptions on fingers and hands, itching and stinging. Ends of hair become tangled.","Voluptuous dreams. Cannot sleep on account of heat, especially in head. Cries out of sleep as if frightened (Bell).",,,"Distention after eating; vomiting. Gastralgia, depending upon uterine disturbance. Pain as if diarrhoea would result.","Loose, pappy, offensive stools in children. Diarrhoea, offensive, preceded by colic; stools mucous, with aphthous sore mouth.",,,,,,,,,"Hot, smarting pain in orifice. Pungent smell. Child afraid to urinate, screams before urinating (Sarsap). Small red particles on diaper.",,
BORICUM ACIDUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Climacteric flushings (Lach; Amyl nit). Vagina cold, as if packed with ice. Frequent urination with burning and tenesmus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When the diplococcus of Weichselbaum is present in the sputum of pharyngitis or bronchitis, pneumonia with tenacious sputum, hacking cough and pain, five-grain doses six times daily. A solution of Boracic Acid, as an injection, in chronic, cystitis, or, a teaspoonful to a glass of hot milk, taken internally. Boro-Glyceride in solution (1:40) is a powerful antiseptic. Styes, 15 gr to 1 oz water externally. As a dusting powder on ulcerated surfaces. In cystitis as an irrigating fluid.",,,,,,,,,,,,,Multiform erythema of trunk and upper extremities. Å’dema around eyes. Exfoliating dermatitis. Å’dema of tissues around eyes.,,,,,,,,,,,,,,,,
BISMUTHUM SUBNITRICUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cramps in hands and feet. Tearing in wrist. Paralytic weakness, especially right arm. Tearing in tips of fingers under nails (Berb). Itching erosion near tibia and back of feet near joints. Cold limbs.",,,,,,,,,,,,,"Headache alternates with gastralgia. Neuralgic pain, as if torn by pincers; involves face and teeth; worse, eating; better, cold; alternate with gastralgia. Cutting or pressure above right orbit extending to occiput. Pressure in occiput; worse, motion; with heaviness.",,,,,,,,,,,Solitude is unbearable. Desire for company. Complains about his condition. Anguish. Discontented.,,,,"Gums swollen. Toothache; better, cold water in mouth (Coff). Tongue white. Swollen. Black, gangrenous looking wedges on dorsum and sides of tongue. Profuse salivation, teeth loose. Thirst for cold drinks.",,,,,,,,,,,,,,,,,,"Pinching in middle of diaphragm, extending transversely through chest. Angina pectoris; pain around heart, left arm to fingers.",,,,"Restless on account of voluptuous dreams. Sleepy in morning, a few hours after eating.",,"Vomits, with convulsive gagging and pain. Water is vomited as soon as it reaches the stomach. Eructation after drinking. Vomits all fluids. Burning; feeling of a load. Will eat for several days; then vomit. Slow digestion, with fetid eructations. Gastralgia; pain from stomach through to spine. Gastritis. Better, cold drinks, but vomiting when stomach becomes full.",,"Painless diarrhoea, with great thirst, and frequent micturition and vomiting. Pinching in lower abdomen, with rumbling.",,,,,,,,,,,
BLATTA ORIENTALIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLATTA AMERICANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERBERIS VULGARIS,"Stitches in region of gall-bladder; worse, pressure, extending to stomach. Catarrh of the gall-bladder with constipation and yellow complexion. Stitching pain in front of kidneys extending to liver, spleen, stomach, groins, Poupart's ligament. Sticking deep in ilium.",,,,,"Stitches in neck and back; worse, respiration. Sticking pain in region of kidneys radiating thence around abdomen, to hips and groins. Numb, bruised sensation. Stitches from kidneys into bladder. Tearing, sticking with stiffness, making rising difficult, involving hips, nates, limbs, with numbness. Lumbago (Rhus; Tart em). Metatarsus and metacarpus feel sprained. Post-operative pain in lumbar region; soreness with sharp pain following course of circumflex iliac nerve to bladder with frequent urination.",,,,,,,,,,,,,,,,,,,,,"Rheumatic paralytic pain in shoulders, arms, hands and fingers, legs and feet. Neuralgia under finger-nails, with swelling of finger-joints. Sensation of cold on outside of thighs. Heels pain, as if ulcerated. Stitching between metatarsal bones as from a nail when standing. Pain in balls of feet on stepping. Intense weariness and lameness of legs after walking a short distance.",,,,"Pale, sickly. Sunken cheeks and eyes, with bluish circles.","Pinching constriction in mons veneris, vaginismus, contraction and tenderness of vagina. Burning and soreness in vagina. Desire diminished, cutting pain during coition. Menses scanty, gray mucus, with pain in kidneys and chilliness, pain down thighs. Leucorrhoea, grayish mucus, with painful urinary symptoms. Neuralgia of ovaries and vagina.","Cold sensation in various parts, as if spattered with cold water. Warmth in lower part of back, hips, and thighs.",,,,,,,"Listless, apathetic, indifferent. Puffy sensation, feeling as if becoming larger. Vertigo with attacks of fainting. Frontal headache. Chilliness in back and occiput. Tearing pain in auricle, and gouty concretions. Sensation of a tight cap pressing upon the whole scalp.",,,,,,,,,"Neuralgia of spermatic cord and testicles. Smarting, burning, stitching in testicles, in prepuce and scrotum.",,,,"Worse, motion, standing. It brings on, or increases, urinary complaints.",,"Sticky sensation. Diminished saliva. Sticky, frothy saliva, like cotton (Nux mosch). Tongue feels scalded, vesicles on tongue.",,,,,,,,,Dry; obstinate catarrh of left nostril. Crawling in nostrils.,,,,,,,,,Hoarseness; polypus of larynx. Tearing stitches in chest and region of heart.,,,"Flat warts. Itching, burning and smarting; worse, scratching; better, cold applications. Small pustules over whole body. Eczema of anus and hands. Circumscribed pigmentation following eczematous inflammation.",,,Nausea before breakfast. Heartburn.,,"Constant urging to stool. Diarrhoea painless, clay-colored, burning, and smarting in anus and perineum. Tearing around anus. Fistula in ano.",,,,,,,"Burning pains. Sensation as if some urine remained after urinating. Urine with thick mucus and bright-red, mealy sediment. Bubbling, sore sensation in kidneys. Pain in bladder region. Pain in the thighs and loins on urinating. Frequent urination; urethra burns when not urinating.",,,,
BETA VULGARIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENZOICUM ACIDUM,Cutting about navel. Stitching in liver region.,,,,,"Pressure on spinal column. Coldness in sacrum. Dull pain in region of kidneys; worse, wine.",,,,,,,,,,,,,,,,,,,,,Joints crack on motion. Tearing with stitches. Pain in tendo Achillis. Rheumatic gout; nodes very painful. Gouty deposits. Ganglion; swelling of the wrist. Pain and swelling in knees. Bunion of great toe. Tearing pain in great toe.,,,,"Copper-colored spots. Red, with little blisters. Circumscribed redness of cheeks.",,"Cold hands, feet, back, knees. Chilliness; cold sweat. Internal heat on awakening.",,,,,,,"Vertigo inclination to fall sideways. Throbbing in temporal arteries, causes puffing around ears. Noises when swallowing. Ulceration of tongue. Swelling behind ears (Caps). Cold sweat on forehead. Pricking, puckered constriction of mouth, bluish and bleeding gums. Wens.",,,,,,,,,,,Prone to dwell on unpleasant things in the past. Omits words in writing. Depression.,,"Worse, in open air; by uncovering.",,,,,,,,,,,Itching of septum. Pain in nasal bones.,,,,,,Stitches and constricted feeling. Puckering constriction of rectum. Itching and watery elevations around anus.,,,"Hoarse in morning. Asthmatic cough; worse at night; lying on right side. Chest very tender. Pain in region of heart. Expectoration, green mucus.",,,Red spots. Itching in spots.,,,"Sweat while eating; pressure in stomach, sensation of a lump.",,"Frothy, offensive, liquid, light-colored, like soapsuds, bowel movements, mostly windy.",,,,,,,,,"Repulsive odor; changeable color; brown, acid. Enuresis; dribbling, offensive urine of old men. Excess of uric acid. Vesical catarrh from suppressed gonorrhoea. Cystitis.",,
BERBERIS AQUIFOLIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acne. Blotches and pimples. Clears the complexion.,,,,,,,,,"Sensation of a band just above ears. Bilious headache. ""Scald head"". Scaly eczema.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pimply, dry, rough, scaly. Eruption on scalp extending to face and neck. Tumor of breast, with pain. Psoriasis. Acne. Dry eczema. Pruritus. Glandular induration.",,,"Tongue thickly coated, yellowish-brown; feels blistered. Burning in stomach. Nausea and hunger after eating.",,,,,,,,,,,"Stitching, crampy pains; thick mucus, and bright-red, mealy sediment.",,
BENZOLUM,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heavy limbs, cold legs, exaggerated knee-jerk. Pains from below upward.",,"Illusion of vision with wide open eyes. Twitching of lids. Photophobia, objects blurred. Aching in eyes and lids. Marked dilation of pupils. Failure to react to light, particularly daylight.",,,,,,,,,,,Sense of falling through bed and floor. Pains from below upward. Tired and nervous.,,,,,,,,,Swelling of right testicle. Severe pain in testicles. Itching of scrotum. Profuse urination.,,,,Worse at night. Worse right side.,,,,,,,,,,,Profuse fluent coryza. Especially in afternoon. Violent sneezing.,,,,,,,,,,,,Eruption like measles. Perspiration on side not lain upon. Itching all over back.,,,,,,,,,,,,,,,,
BELLADONNA,"Distended, hot. Transverse colon protrudes like a pad. Tender, swollen. Pain as if clutched by a hand; worse, jar, pressure. Cutting pain across; stitches in left side of abdomen, when coughing, sneezing, or touching it. Extreme sensitiveness to touch, bed-clothes, etc (Laches).",,,,,"Stiff neck. Swelling of glands of neck. Pain in nape, as if it would break. Pressure on dorsal region most painful. Lumbago, with pain in hips and thighs.",,,,,,,,,,,,,,,,,,,,"Tearing pain in middle and external ear. Humming noises. Membrana tympani bulges and injected. Parotid gland swollen. Sensitive to loud tones. Hearing very acute. Otitis media. Pain causes delirium. Child cries out in sleep; throbbing and beating pain deep in ear, synchronous with heart beat. Hematoma auris. Acute and sub-acute conditions of Eustachian tube. Autophony-hearing one's voice in ear.","Shooting pains along limbs. Joints swollen, red, shining, with red streaks radiating. Tottering gait. Shifting rheumatic pains. Phlegmasia alba dolens. Jerking limbs. Spasms. Involuntary limping. Cold extremities.",,"Throbbing deep in eyes on lying down. Pupils dilated (Agnus). Eyes feel swollen and protruding, staring, brilliant; conjunctiva red; dry, burn; photophobia; shooting in eyes. Exophthalmus. Ocular illusions; fiery appearance. Diplopia, squinting, spasms of lids. Sensation as if eyes were half closed. Eyelids swollen. Fundus congested.",,"Red, bluish-red, hot, swollen, shining; convulsive motion of muscles of face. Swelling of upper lip. Facial neuralgia with twitching muscles and flushed face.","Sensitive forcing downwards, as if all the viscera would protrude at genitals. Dryness and heat of vagina. Dragging around loins. Pain in sacrum. Menses increased; bright red, too early, too profuse. Haemorrhage hot. Cutting pain from hip to hip. Menses and lochia very offensive and hot. Labor-pains come and go suddenly. Mastitis pain, throbbing, redness, streaks radiate from nipple. Breasts feel heavy; are hard and red. Tumors of breast, pain worse lying down. Badly smelling haemorrhages, hot gushes of blood. Diminished lochia.","A high feverish state with comparative absence of toxaemia. Burning, pungent, steaming, heat. Feet icy cold. Superficial blood-vessels, distended. Perspiration dry only on head. No thirst with fever.",,,,,,,"Vertigo, with falling to left side or backwards. Sensitive to least contact. Much throbbing and heat. Palpitation reverberating in head with labored breathing. Pain; fullness, especially in forehead, also occiput, and temples. Headache from suppressed catarrhal flow. Sudden outcries. Pain worse light, noise, jar, lying down and in afternoon; better by pressure and semi-erect posture. Boring of head into pillow; drawn backward and rolls from side to side. Constant moaning. Hair splits; is dry and comes out. Headache worse on right side and when lying down; ill effects, colds, etc; from having hair cut.",,"Violent palpitation, reverberating in head, with labored breathing. Palpitation from least exertion. Throbbing all through body. Dichrotism. Heart seemed too large. Rapid but weakened pulse.",,,,,,,"Testicles hard, drawn up, inflamed. Nocturnal sweat of genitals. Flow of prostatic fluid. Desire diminished.",,"Patient lives in a world of his own, engrossed by specters and visions and oblivious to surrounding realities. While the retina is insensible to actual objects, a host of visual hallucinations throng about him and come to him from within. He is acutely alive and crazed by a flood of subjective visual impressions and fantastic illusions. Hallucinations; sees monsters, hideous faces. Delirium; frightful images; furious; rages, bites, strikes; desire to escape. Loss of consciousness. Disinclined to talk. Perversity, with tears. Acuteness of all senses. Changeableness.",,"Worse, touch, jar, noise, draught, after noon, lying down. Better, semi-erect.",,Dry. Throbbing pain in teeth. Gumboil. Tongue red on edges. Strawberry tongue. Grinding of teeth. Tongue swollen and painful. Stammering.,,,,,,,"Atropia and its salts are used for ophthalmic purposes, to dilate the pupil and paralyze the accommodation.",,"Imaginary odors. Tingling in tip of nose. Red and swollen. Bleeding of nose, with red face. Coryza; mucus mixed with blood.",,,,,,,,,"Drying in nose, fauces, larynx, and trachea. Tickling, short, dry cough; worse at night. Larynx feels sore. Respiration oppressed, quick, unequal. Cheyne-Stokes respiration (Cocaine; Opium). Hoarse; loss of voice. Painless hoarseness. Cough with pain in left hip. Barking cough, whooping cough, with pain in stomach before attack, with expectoration of blood. Stitches in chest when coughing. Larynx very painful; feels as if a foreign body were in it, with cough. High, piping voice. Moaning at every breath.",,,"Dry and hot; swollen, sensitive; burns scarlet, smooth. Eruption like scarlatina, suddenly spreading. Erythema; pustules on face. Glands swollen, tender, red. Boils. Acne rosacea. Suppurative wounds. Alternate redness and paleness of the skin. Indurations after inflammations. Erysipelas.","Restless, crying out, gritting of teeth. Kept awake by pulsation of blood-vessels. Screams out in sleep. Sleeplessness, with drowsiness. Starting when closing the eyes or during sleep. Sleeps with hands under head (Ars; Plat).",,Loss of appetite. Averse to meat and milk. Spasmodic pain in epigastrium. Constriction; pain runs to spine. Nausea and vomiting. Great thirst for cold water. Spasms of stomach. Empty retching. Abhorrence of liquids. Spasmodic hiccough. Dread of drinking. Uncontrollable vomiting.,,,,"Thin, green, dysenteric; in lumps like chalk. Shuddering during stool. Stinging pain in rectum; spasmodic stricture. Piles more sensitive with backache. Prolapsus ani (Ignatia; Podoph).",,"Dry, as if glazed; angry-looking congestion (Ginseng); red, worse on right side. Tonsils enlarged; throat feels constricted; difficult deglutition; worse, liquids. Sensation of a lump. Å’sophagus dry; feels contracted. Spasms in throat. Continual inclination to swallow. Scraping sensation. Muscles of deglutition very sensitive. Hypertrophy of mucous membrane.",,,,,"Retention. Acute urinary infections. Sensation of motion in bladder as of a worm. Urine scanty, with tenesmus; dark and turbid, loaded with phosphates. Vesical region sensitive. Incontinence, continuous dropping. Frequent and profuse. Haematuria where no pathological condition can be found. Prostatic hypertrophy.",,
BELLIS PERENNIS,"Soreness of abdominal walls and of uterus. Stitches in spleen, sore, enlarged. Yellow, painless diarrhoea, foul odor, worse at night. Bloated; rumbling in bowels.",,,,,,,,,,,,,,,,,,,,,,,,,,"Joints sore, muscular soreness. Itching on back and flexor surfaces of thighs. Pain down anterior of thighs. Wrist feels contracted as from elastic band around joint. Sprains feels contracted as from elastic band around joint. Sprains with great soreness. Railway spine.",,,,,"Breasts and uterus engorged. Varicose veins in pregnancy. During pregnancy inability to walk. Abdominal muscles lame. Uterus feels sore, as if squeezed.",,,,,,,,"Vertigo in elderly people. Headache from occiput to top of head. Forehead feels contracted. Bruised soreness. Itching around scalp and over back, worse from hot bath and bed.",,,,,,,,,,,,,"Worse, left side; hot bath and warmth of bed; before storms; cold bathing; cold wind.",,,,,,,,,,,,,,,,,,,,,,,"Boils. Ecchymosis, swelling, very sensitive to touch. Venous congestion due to mechanical causes. Varicose veins with bruised sore feeling. Exudations and swellings. Acne.",Wakes early in morning and cannot get to sleep again.,,,,,,,,,,,,,,,
BARYTA MURIATICA,Throbbing (Selen); induration of pancreas; abdominal aneurism. Inguinal glands swollen. Spasmodic pain in rectum.,,,,,,,,,,,,,,,,,,,,,,,,,"Whizzing and buzzing. Noises on chewing and swallowing, or sneezing. Earache; better sipping cold water. Parotids swollen. Offensive otorrhoea. Inflates middle ear on blowing nose.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bronchial affection of old people with cardiac dilation. Facilitates expectoration. Great accumulation and rattling of mucus with difficult expectoration. Arterio-sclerosis of the lung, thus in senile asthma, modifies the arterial tension.",,,,,,Gone feeling at epigastrium a good guiding symptom for it in chronic affections. Retching and vomiting. Sensation of heat ascending to head.,,,,,,"Difficult swallowing. Tonsils enlarged. Paresis of pharynx and eustachian tubes, with sneezing and noises. Tubes feel too wide open.",,,,,"Great increase in uric acid, diminution of chlorides.",,
BARYTA IODATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARYTA CARBONICA,"Hard and tense, distended. Colicky. Enlarged mesenteric glands. Pain in abdomen swallowing food. Habitual colic, with hunger, but food is refused.",,,,,Swollen glands in nape of occiput. Fatty tumors about neck. Bruised pain between scapulae. Stiffness in sacrum. Weakness of spine.,,,,,,,,,,,,,,,,,,,,Hardness of hearing. Crackling noise. Glands around ears painful and swollen. Reverberation on blowing nose.,"Pain in axillary glands. Cold, clammy feet (Calc). Fetid foot-sweats. Numbness of limbs. Numb feeling from knees to scrotum; disappears when sitting down. Toes and soles sore; soles painful when walking. Pain in joints; burning pains in lower limbs.",,Alternate dilatation and contraction of pupils. Photophobia. Gauze before eyes. Cataracts (Calc; Phos; Sil).,,"Pale, puffed; sensation as of cobweb (Alumina). Upper lip swollen.","Before menses, pain in stomach and small of back. Menses scanty.",,,,,,,,"Vertigo; stitches, when standing in the sun, extending through head. Brain feels as if loose. Hair falls out. Confusion. Wens.",,"Palpitation and distress in region of heart. Aneurism (Lycop). Accelerates the heart's action at first, blood pressure much increased, contraction of blood vessels. Palpitation when lying on left side, when thinking of it especially; pulse full and hard. Cardiac symptoms after suppressed foot-sweat.",,,,,,,Diminished desire and premature impotence. Enlarged prostate. Testicles indurated.,,"Loss of memory, mental weakness. Irresolute. Lost confidence in himself. Senile dementia. Confusion. Bashful. Aversion to strangers. Childish; grief over trifles.",,"Worse, while thinking of symptoms; from washing; lying on painful side. Better, walking in open air.",,"Awakes with dry mouth. Gums bleed and retract. Teeth ache before menses. Mouth filled with inflamed vesicles, foul taste. Paralysis of tongue. Smarting, burning pain in tip of tongue. Dribbling of saliva at dawn. Spasm of oesophagus when food enters.",,,,,,,,,"Dry; sneezing; coryza, with swelling of upper lip and nose. Sensation of smoke in nose. Discharge of thick, yellow mucus. Frequent bleeding. Scabs around wings of nose.",,,,,,"Constipation, with hard, knotty stools. Haemorrhoids protrude on urinating. Crawling in rectum. Oozing at anus.",,,"Dry, suffocative cough, especially in old people, full of mucus but lacking strength to expectorate, worse every change of weather (Senega). Larynx feels as if smoke were inhaled. Chronic aphonia. Stitches in chest; worse inspiration. Lungs feel full smoke.",,,,Talking in sleep; awakens frequently; feels too hot. Twitching during sleep.,,"Waterbrash, hiccough, and eructation, which relieves pressure as of a stone. Hungry, but refuses food. Pain and weight immediately after a meal, with epigastric tenderness (Kali carb). Worse after warm food. Gastric weakness in the aged with possible malignancy present.",,,,,,"Submaxillary glands and tonsils swollen. Takes cold easily, with stitches and smarting pain. Quinsy. Suppurating tonsils from every cold. Tonsils inflamed, with swollen veins. Smarting pain when swallowing; worse empty swallowing. Feeling of a plug in pharynx. Can only swallow liquids. Spasm of oesophagus as soon as food enters oesophagus, causes gagging and choking (Merc cor; Graphit). Throat troubles from over use of voice. Stinging pain in tonsils, pharynx or larynx.",,,"Every time patient urinates, his piles come down. Urging to urinate. Burning in urethra on urinating.",,,,
BARYTA ACETICA,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drawing pain down whole left leg. Crawling, with burning stitches. Paralysis. Lumbago and rheumatic pain in muscles and joints.",,,,Feeling of cobweb in face.,,,,,,,,,,,,,,,,,,,,Forgetful; wavering long between opposite resolutions. Lack of self confidence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
